module	status	blocker_category	first_error	direct_deps	n_direct_deps	fstar_s	krml_s
SPARQL.Explain	PASS			RDF.Pretty,SPARQL.JSON.Escape,SPARQL11.Algebra	3	28.37	0.17
SPARQL.GraphStore	PASS			RDF.Graph.Executable	1	7.57	0.36
SPARQL.HTTP	PASS				0	2.98	0.66
SPARQL.HTTP.Admin	PASS			SPARQL.JSON.Escape	1	1.02	0.20
SPARQL.HTTP.BackendInfo	PASS			RDF.Graph.Executable,SPARQL.JSON.Escape	2	8.15	7.94
SPARQL.HTTP.Client	PASS				0	3.04	0.45
SPARQL.HTTP.QueriesIndex	PASS			Parser.FastString,SPARQL.JSON.Escape	2	0.92	0.15
SPARQL.HTTP.Response	PASS				0	1.33	0.29
SPARQL.HTTP.Routes	PASS				0	1.24	0.15
SPARQL.HTTP.RunQuery	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: SPARQL11.Algebra]	Fatal error: exception Stack overflow	SPARQL.Eval.Limits,SPARQL.HTTP.Response,SPARQL.Protocol,SPARQL11.Algebra	4	25.32	1.77
SPARQL.HTTP.StaticFiles	PASS				0	1.21	0.26
SPARQL.HTTP.Timing	PASS				0	0.68	0.31
SPARQL.JSON.Escape	PASS			Parser.FastString	1	1.35	0.25
SPARQL.Plan.AccessPath	PASS			RDF.Store.Columnar.OffsetIndex,SPARQL.Plan.Pruning	2	3.30	0.29
SPARQL.Plan.Estimate	PASS				0	0.81	0.12
SPARQL.Plan.Explain	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: SPARQL11.Algebra]	Fatal error: exception Stack overflow	RDF.Graph.Executable,RDF.Pretty,SPARQL.Explain,SPARQL.JSON.Escape,SPARQL.Plan.Estimate,SPARQL11.Algebra	6	35.52	0.57
SPARQL.Plan.Loader	PASS				0	0.45	0.21
SPARQL.Plan.Pruning	PASS			RDF.CottasStore.CompoundPresenceBitmap,RDF.CottasStore.PresenceBitmap	2	1.20	0.15
